marketname,marketcode,country,marketlat,marketlon
Weaver Mount Manufacturing Facility,"Oroville, CA",USA,,
Bushnell/Tasco/Simmons Assembly Plants,Various (unspecified cities),China,,
Bushnell High-End Optics Facilities,"Suwa, other unspecified cities",Japan,,
Bushnell High-End Optics Facilities,"Mandaluyong, Calamba",Philippines,,
Bushnell Golf Electronics Assembly,Unspecified cities,China,,
Bushnell Golf Electronics Assembly,Unspecified cities,Taiwan,,
Bushnell Golf Electronics Assembly,Unspecified cities,Philippines,,
Main Export Ports for Bushnell Products,"Shanghai, Ningbo, Yantian",China,,
Main Export Port for Bushnell Products,Kaohsiung,Taiwan,,
Main Export Ports for Bushnell Products,Busan,South Korea,,
Main Export Port for Bushnell Products,Tokyo/Yokohama,Japan,,
