brand,product_category,origin_location_id,destination_location_id,profit_margin,,Transport_cost_share,Tarif_trade_applied
Bushnell_Optics,Riflescopes,LOC_CN_KUN,LOC_US_LX,50,,10,10
Bushnell_Optics,Riflescopes,LOC_JP_GEN,LOC_US_LX,50,,10,20
Bushnell_Optics,Binoculars,LOC_CN_KUN,LOC_US_LX,50,,10,25
Bushnell_Optics,Binoculars,LOC_PH_MAN,LOC_US_LX,50,,10,26
Bushnell_Optics,Binoculars,LOC_TW_GEN,LOC_US_LX,50,,10,26
Bushnell_Optics,Rangefinders,LOC_CN_SZ,LOC_US_LX,50,,10,26
Bushnell_Optics,Rangefinders,LOC_TW_GEN,LOC_US_LX,50,,10,26
Bushnell_Optics,Trail_Cameras,LOC_CN_GD,LOC_US_LX,50,,10,26
Bushnell_Optics,Red_Dots,LOC_CN_GD,LOC_US_LX,50,,10,26
Bushnell_Optics,Spotting_Scopes,LOC_CN_GD,LOC_US_LX,50,,4,26
Weaver,Riflescopes,LOC_CN_KUN,LOC_US_LX,50,,4,26
Weaver,Mounts_Rings,LOC_US_EP,LOC_US_LX,50,,10,26
Tasco,Binoculars,LOC_CN_KUN,LOC_US_LX,50,,4,26
Tasco,Binoculars,LOC_PH_MAN,LOC_US_LX,50,,10,26
Tasco,Riflescopes,LOC_CN_KUN,LOC_US_LX,50,,10,26
Tasco,Spotting_Scopes,LOC_CN_KUN,LOC_US_LX,50,,20,26
Simmons,Binoculars,LOC_CN_KUN,LOC_US_LX,50,,10,26
Simmons,Riflescopes,LOC_CN_KUN,LOC_US_LX,50,,10,26
Simmons,Red_Dots,LOC_CN_KUN,LOC_US_LX,50,,10,26
Simmons,Spotting_Scopes,LOC_CN_KUN,LOC_US_LX,50,,10,26
Bushnell_Golf,Rangefinders,LOC_CN_HK,LOC_US_LX,50,,10,26
Bushnell_Golf,Rangefinders,LOC_MX_MT,LOC_US_LX,50,,10,26
Bushnell_Golf,GPS_Devices,LOC_CN_HK,LOC_US_LX,50,,10,26
Bushnell_Golf,Launch_Monitors,LOC_CN_HK,LOC_US_LX,50,,10,26
Bushnell_Golf,Launch_Monitors,LOC_MY_KL,LOC_US_LX,50,,10,26
