brand,product_category,origin_location_id,destination_location_id,origin_country,destination_country,tariff_pct
Bushnell_Optics,Riflescopes,LOC_CN_KUN,LOC_US_LX,China,USA,25.0
Bushnell_Optics,Riflescopes,LOC_JP_GEN,LOC_US_LX,Japan,USA,5.0
Bushnell_Optics,Binoculars,LOC_CN_KUN,LOC_US_LX,China,USA,20.0
Bushnell_Optics,Binoculars,LOC_PH_MAN,LOC_US_LX,Philippines,USA,0.0
Bushnell_Optics,Binoculars,LOC_TW_GEN,LOC_US_LX,Taiwan,USA,0.0
Bushnell_Optics,Rangefinders,LOC_CN_SZ,LOC_US_LX,China,USA,0.0
Bushnell_Optics,Rangefinders,LOC_TW_GEN,LOC_US_LX,Taiwan,USA,0.0
Bushnell_Optics,Trail_Cameras,LOC_CN_GD,LOC_US_LX,China,USA,15.0
Bushnell_Optics,Red_Dots,LOC_CN_GD,LOC_US_LX,China,USA,30.0
Bushnell_Optics,Spotting_Scopes,LOC_CN_GD,LOC_US_LX,China,USA,0.0
Weaver,Riflescopes,LOC_CN_KUN,LOC_US_LX,China,USA,25.0
Weaver,Mounts_Rings,LOC_US_EP,LOC_US_LX,USA,USA,0.0
Tasco,Binoculars,LOC_CN_KUN,LOC_US_LX,China,USA,20.0
Tasco,Binoculars,LOC_PH_MAN,LOC_US_LX,Philippines,USA,0.0
Tasco,Riflescopes,LOC_CN_KUN,LOC_US_LX,China,USA,25.0
Tasco,Spotting_Scopes,LOC_CN_KUN,LOC_US_LX,China,USA,0.0
Simmons,Binoculars,LOC_CN_KUN,LOC_US_LX,China,USA,20.0
Simmons,Riflescopes,LOC_CN_KUN,LOC_US_LX,China,USA,25.0
Simmons,Red_Dots,LOC_CN_KUN,LOC_US_LX,China,USA,30.0
Simmons,Spotting_Scopes,LOC_CN_KUN,LOC_US_LX,China,USA,0.0
Bushnell_Golf,Rangefinders,LOC_CN_HK,LOC_US_LX,China,USA,0.0
Bushnell_Golf,Rangefinders,LOC_MX_MT,LOC_US_LX,Mexico,USA,0.0
Bushnell_Golf,GPS_Devices,LOC_CN_HK,LOC_US_LX,China,USA,0.0
Bushnell_Golf,Launch_Monitors,LOC_CN_HK,LOC_US_LX,China,USA,0.0
Bushnell_Golf,Launch_Monitors,LOC_MY_KL,LOC_US_LX,Malaysia,USA,10.0
